post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
145226571.research-log-1-by-gokhaneth,2024-06-02T15:30:47.186Z,true,2024-06-02T15:30:47.272Z,2024-06-02T15:30:47.272Z,newsletter,everyone,Research Log #1 by gokhan.eth,,
145065337.the-daily-builderon-curation-by-moderation,2024-05-28T15:52:04.295Z,true,2024-05-28T15:52:04.385Z,2024-05-28T15:52:04.385Z,newsletter,everyone,The Daily Builder—On Curation by Moderation I,,
140381646.web3-marketing-5,2024-01-05T09:27:55.378Z,true,2024-01-05T09:27:55.429Z,2024-01-05T09:27:55.429Z,newsletter,everyone,Web3 Marketing #5,,
140340870.playlist-5,2024-01-04T02:11:24.294Z,true,2024-01-04T02:11:24.363Z,2024-01-04T02:11:24.363Z,newsletter,everyone,PLAYLIST #5,,
140316833.web3-marketing-4,2024-01-03T21:00:17.562Z,true,2024-01-03T21:00:17.669Z,2024-01-03T21:00:17.669Z,newsletter,everyone,Web3 Marketing #4,Be clear.,
140278188.web3-marketing-3,2024-01-02T21:00:37.530Z,true,2024-01-02T21:00:37.631Z,2024-01-02T21:00:37.631Z,newsletter,everyone,Web3 Marketing #3,Tone Down Your Language.,
140243568.web3-marketing-2,2024-01-01T21:00:38.542Z,true,2024-01-01T21:00:38.621Z,2024-01-01T21:00:38.621Z,newsletter,everyone,Web3 Marketing #2,Be the DARPA of web3. Open frontiers for the retail,
140235167.web3-marketing-1,2024-01-01T02:03:48.932Z,true,2024-01-01T02:03:49.001Z,2024-01-01T02:03:49.001Z,newsletter,everyone,Web3 Marketing #1,,
140102631.this-week-in-writing-and-nfts-7,2023-12-26T23:13:20.954Z,true,2023-12-26T23:13:21.162Z,2023-12-26T23:13:21.162Z,newsletter,everyone,This Week in Writing and NFTs #7,,
140086382.1kb-dna-data-storage-consumer-kits,2023-12-26T06:21:46.105Z,true,2023-12-26T06:21:46.161Z,2023-12-26T06:21:46.161Z,newsletter,everyone,1KB DNA Data Storage Consumer Kits Hits the Market,,
140086381.538,,false,,,newsletter,everyone,,,
140065420.11-theses-for-crypto-in-2024,2023-12-24T19:39:25.353Z,true,2023-12-24T19:39:25.490Z,2023-12-24T19:39:25.490Z,newsletter,everyone,11 Theses for Crypto in 2024,,
139292178.gokhans-devconnect-istanbul-2023,,false,,,newsletter,everyone,,,
138307867.the-case-against-zombie-nfts-or-how,2023-10-26T15:53:41.592Z,true,2023-10-26T15:53:41.664Z,2023-10-26T15:53:41.664Z,newsletter,everyone,"The Case against Zombie NFTs, or how I started to Discard them for Perpetual Convivialities—The Rise & Proliferation of IPNFTs & SBTs: Part I ",,
138130450.preparing-a-culture-object-1,2023-10-20T10:49:02.420Z,true,2023-10-20T10:49:02.552Z,2023-10-20T10:49:02.552Z,newsletter,everyone,Preparing a Culture Object 1,,
138099762.on-techno-optimist-manifesto,2023-10-19T10:53:54.773Z,true,2023-10-19T10:53:54.860Z,2023-10-19T10:53:54.860Z,newsletter,everyone,On Techno-Optimist Manifesto,Individual Shower Thoughts,
138036531.virulent-optimism-hating-smoking,2023-10-17T10:48:47.672Z,true,2023-10-17T10:48:47.750Z,2023-10-17T10:48:47.750Z,newsletter,everyone,Virulent Optimism: Hating Smoking,,
138036481.efe,,false,,,newsletter,everyone,,,
137993331.on-subscription-models-in-the-network,2023-10-15T20:39:09.694Z,true,2023-10-15T20:39:09.765Z,2023-10-15T20:39:09.765Z,newsletter,everyone,On Subscription Models in the Network States #001,,
134471569.cassette-a-commissioned-poem,2023-07-11T13:21:16.561Z,true,2023-07-11T13:21:16.652Z,2023-07-11T13:21:16.652Z,newsletter,everyone,"CASSETTE, a commissioned poem",,
132863416.reading-sufficient-decentralization,2023-07-03T22:48:36.024Z,true,2023-07-03T22:48:36.124Z,2023-07-03T22:48:36.124Z,newsletter,everyone,"Reading ""Sufficient Decentralization for Social Networks"" by Srinivasan",,
130307225.daily-6,2023-06-22T21:56:40.185Z,true,2023-06-22T21:56:40.296Z,2023-06-22T21:56:40.296Z,newsletter,everyone,Daily 6,Midnight edition UTC+3,
129505422.daily-markets-5,2023-06-19T17:39:00.687Z,true,2023-06-19T17:39:00.799Z,2023-06-19T17:39:00.799Z,newsletter,everyone,Daily Markets 5,Evening Edition UTC + 3,
129015299.daily-markets-4-uniswap-v4-bsl-debates,2023-06-17T19:06:55.824Z,true,2023-06-17T19:06:55.902Z,2023-06-17T19:06:55.902Z,newsletter,everyone,Daily Markets 4: Uniswap v4 BSL Debates Take 1,Evening edition UTC + 3,
128982621.daily-markets-3,2023-06-17T11:58:55.565Z,true,2023-06-17T11:58:55.664Z,2023-06-17T11:58:55.664Z,newsletter,everyone,Daily Markets 3,UTC + 3 Afternoon Edition,
128875708.daily-markets-2-utilizing-transaction,2023-06-16T23:28:36.605Z,true,2023-06-16T23:28:36.779Z,2023-06-16T23:28:36.779Z,newsletter,everyone,Daily Markets 2: Utilizing Transaction Calldata as a Creative Medium,Early Morning UTC+3 Edition,
128640342.daily-markets-1,2023-06-16T10:42:08.540Z,true,2023-06-16T10:42:08.675Z,2023-06-16T10:42:08.675Z,newsletter,everyone,Daily Markets 1,UTC + 3 Afternoon Edition,
128518258.playlist-6,2023-06-26T15:34:45.199Z,true,2023-06-26T15:34:45.297Z,2023-06-26T15:34:45.297Z,newsletter,everyone,Playlist #6,,
128492444.daily-markets-0,2023-06-15T10:49:06.551Z,true,2023-06-15T10:49:06.628Z,2023-06-15T10:49:06.628Z,newsletter,everyone,Daily Markets 0,Intraday UTC + 3,
127997701.happy,2023-06-13T12:32:31.719Z,true,2023-06-13T12:32:31.779Z,2023-06-13T12:32:31.779Z,newsletter,everyone,HAPPY,,
126122210.r-e-t-a-i-l,2023-06-05T10:27:29.569Z,true,2023-06-05T10:27:29.635Z,2023-06-05T10:27:29.635Z,newsletter,everyone,R E T A I L,$MARKET,
124136327.ef5,,false,,,newsletter,everyone,,,
123915308.dons-ai-zk-are-the-future-stack,2023-05-26T09:22:06.038Z,true,2023-05-26T09:22:06.115Z,2023-05-26T09:22:06.115Z,newsletter,everyone,"DONs, AI, ZK are the future stack.",,
117069389.threshold-taxers,,false,,,newsletter,everyone,,,
105872915.on-the-boring-and-artificial-tokenomics,2023-03-01T19:33:02.919Z,true,2023-03-01T19:33:03.100Z,2023-03-01T19:33:03.100Z,newsletter,everyone,On the Boring and Artificial Tokenomics of NFTs vs the Lack of Genuine Time-Based Token Plays ,,
103843275.latest-11s-open-editions-and-news,2023-02-19T11:56:14.523Z,true,2023-02-19T11:56:14.601Z,2023-02-19T11:56:14.601Z,newsletter,everyone,"Latest 1/1s, Open Editions, and News 0",,
102066114.7f0,,false,,,newsletter,everyone,,,
101971095.my-twitter-account-got-suspended,2023-02-10T01:12:31.031Z,true,2023-02-10T01:12:31.149Z,2023-02-10T01:12:31.149Z,newsletter,everyone,My Twitter Account Got Suspended,,
101382081.ordinals-commissioner-galleries-and,2023-02-09T01:57:16.292Z,true,2023-02-09T01:57:16.432Z,2023-02-09T01:57:16.432Z,newsletter,everyone,#Ordinals Commissioner Galleries and R&D Team Proposal,This is a pure shower-thought that I in actual type as I am kind of having chills because of the harsh Winter wind outside next to a window in my living-room whilst having a good mornt coffee.,
101022954.how-to-set-up-your-ord-wallet,2023-02-05T13:19:19.302Z,true,2023-02-05T13:19:19.384Z,2023-02-05T13:19:19.384Z,newsletter,everyone,How to Set up Your ord Wallet?,"This is a simple guide that I used to create my first ord wallet compatible wallet via Sparrow Wallet. If you are a technical person, you'll only need to read the Ordinal Theory Handbook. ",
100999627.ordinals-taproot-wizards-how,,false,,,newsletter,everyone,,,
99844599.web3-has-a-gambling-problem-and-it,,false,,,newsletter,everyone,,,
97587202.thoughts-on-art-benefiting-from-blockchain,2023-01-19T00:13:08.477Z,true,2023-01-19T00:13:08.629Z,2023-01-19T00:13:08.629Z,newsletter,everyone,Thoughts on Art benefiting from Blockchain Technologies #1,,
94259453.contract-kink,,false,,,newsletter,everyone,,,
93730421.daily-crypto-gossiper-4,,false,,,newsletter,everyone,,,
92469044.day-4,,false,,,newsletter,everyone,,,
91954398.daily-3,2022-12-21T13:54:27.865Z,true,2022-12-21T13:54:27.945Z,2022-12-21T13:54:27.945Z,newsletter,everyone,Daily 3,,
91732001.daily-2,2022-12-20T04:38:02.644Z,true,2022-12-20T04:38:02.709Z,2022-12-20T04:38:02.709Z,newsletter,everyone,Daily 2,,
91618590.daily-1,2022-12-19T22:56:29.927Z,true,2022-12-19T22:56:30.008Z,2022-12-19T22:56:30.008Z,newsletter,everyone,Daily 1,Pure Conceptual Shitepoasting,
80316660.cc9,,false,,,newsletter,everyone,,,
77866981.how-to-drop-a-piano-from-a-space,,false,,,newsletter,everyone,,,
77016322.open-forum-1-art-culture-and-cryptoeconomics,2022-10-07T12:42:45.294Z,true,2022-10-07T12:42:45.423Z,2022-10-07T12:42:45.423Z,thread,everyone,"Open Forum #1: Art, Culture, & Cryptoeconomics",,
76791494.good-morning,,false,,,newsletter,everyone,,,
75761212.1,,false,,,newsletter,everyone,,,
73225422.b92,,false,,,newsletter,everyone,,,
67379425.this-week-in-writing-and-nfts,2022-08-06T01:06:28.652Z,true,2022-08-06T01:06:28.777Z,2022-08-06T01:06:28.777Z,newsletter,everyone,This Week in Writing AND NFTs,This Newsletter is natively published on Mirror every Friday.,
66232210.this-week-in-writing-nfts,2022-07-29T12:19:52.659Z,true,2022-07-29T12:19:53.471Z,2022-07-29T12:19:53.471Z,newsletter,everyone,This Week in Writing NFTs,"Hello, this is your self-assigned host Gökhan Turhan for the latest advancements, innovations and news in and through writing NFTs. I aim to regularly publish this section of my Mirror as a newsletter",
64474116.this-week-in-on-chain-cultural-evolution,2022-07-17T15:04:32.538Z,true,2022-07-17T15:04:32.635Z,2022-07-17T15:04:32.635Z,newsletter,everyone,This Week in On-Chain Cultural Evolution #100069,,
62740389.links-of-the-week,2022-07-06T01:20:31.659Z,true,2022-07-06T01:20:31.754Z,2022-07-06T01:20:31.754Z,newsletter,everyone,Links of the Week,,
52387188.the-new-liquid,,false,,,newsletter,everyone,,,
46910565.679,,false,,,newsletter,everyone,,,
46135087.sound-image-and-new-year-gifts-and,2021-12-27T02:56:36.873Z,true,2021-12-27T02:56:36.951Z,2021-12-27T02:56:36.951Z,newsletter,everyone,"Sound, Image and New Year Gifts and maybe some Nonfungibles—also, SEO plase GM and perchance an NFT 100K EOY LFG",read.,
45248947.on-smart-social-contracts-and-airdrop,2021-12-09T20:52:18.246Z,true,2021-12-09T20:52:18.348Z,2021-12-09T20:52:18.348Z,newsletter,everyone,"On Smart Social Contracts, and Airdrop Mechanics of Existence.",,
44939683.scattered-thoughts-on-the-per-block,2021-12-05T01:34:48.432Z,true,2021-12-05T01:34:48.875Z,2021-12-05T01:34:48.875Z,newsletter,everyone,Scattered Thoughts on the Per Block Time of Existence: On Writing #1,,
42361594.c0a,,false,,,newsletter,everyone,,,
41539397.evolve,2021-09-19T22:22:20.371Z,true,2021-09-19T22:22:20.392Z,2021-09-19T22:22:20.392Z,newsletter,everyone,EVOLVE,,
41335675.honestly-against-proof-of-humanity,2021-09-14T23:30:28.392Z,true,2021-09-14T23:30:28.414Z,2021-09-14T23:30:28.414Z,newsletter,everyone,"Honestly, against Proof-of-Humanity",,
41155862.non-fungibility-of-the-idea-as-a,2021-09-10T13:12:03.878Z,true,2021-09-10T13:12:03.902Z,2021-09-10T13:12:03.902Z,newsletter,everyone,non-fungibility of the idea as a work of art,"As above, so On-chain.",
41085700.use-the-artistthoughts-on-the-probability,2021-09-09T01:08:00.000Z,true,2021-09-09T01:08:00.032Z,2021-09-09T01:08:00.032Z,newsletter,everyone,Use the Artist—Thoughts on the Probability of a Conceptual Art DAO,The .txt version of the below post has already been minted on Zora.,
40942769.a-txt-a-png-and-a-jpg-appear,2021-09-05T20:26:03.068Z,true,2021-09-05T20:26:03.085Z,2021-09-05T20:26:03.085Z,newsletter,everyone,"A .txt, a .png, and a .jpg appear",Mint a Quest today to duel with entropy,
40915873.loot-101-articles-posts-tweets,2021-09-05T00:41:26.543Z,true,2021-09-05T00:41:26.573Z,2021-09-05T00:41:26.573Z,newsletter,everyone,"Loot 101: Articles, Posts, Tweets",Smarty Knoweth what LOOT is.,
40887882.433-for-adventurers-textualis-conceptualist,2021-09-04T00:05:32.346Z,true,2021-09-04T00:05:32.379Z,2021-09-04T00:05:32.379Z,newsletter,everyone,"4'33"" (for Adventurers): Textualis Conceptualist",We are all synths.,
40754280.my-own-private-loot-bag,,false,,,newsletter,everyone,,,
40430743.wish-you-were-mine-nfts-that-i-do,2021-08-30T23:21:27.984Z,true,2021-08-30T23:21:28.004Z,2021-08-30T23:21:28.004Z,newsletter,everyone,Wish you were mine: NFTs that I do not own #1,"""GM. Do you know the morning is good, fren?""",
40241464.a-dao-of-ones-own,,false,,,newsletter,everyone,,,
39581195.the-remix-is-a-derivative,2021-08-04T06:03:15.998Z,true,2021-08-04T06:03:16.039Z,2021-08-04T06:03:16.039Z,newsletter,everyone,The remix is a derivative.,,
39472663.dayineth-1,2021-08-01T15:08:59.179Z,true,2021-08-01T15:08:59.208Z,2021-08-01T15:08:59.208Z,newsletter,everyone,dayineth #1,here we go again,
39399649.happy-eth-day,2021-07-30T11:15:35.333Z,true,2021-07-30T11:15:35.387Z,2021-07-30T11:15:35.387Z,newsletter,everyone,Happy ETH Day,,
39365128.if-you-are-not-the-dao-you-are-the,2021-07-29T19:49:02.841Z,true,2021-07-29T19:49:02.890Z,2021-07-29T19:49:02.890Z,newsletter,everyone,"If you are not the DAO, you are the gwei.",,
39362242.da-way-of-the-bullah,2021-07-29T14:30:19.150Z,true,2021-07-29T14:30:19.199Z,2021-07-29T14:30:19.199Z,newsletter,everyone,da way of the bullah,,
37516747.c8d,,false,,,newsletter,everyone,,,
36777466.7da,,false,,,newsletter,everyone,,,
36469628.e50,,false,,,newsletter,everyone,,,
36468091.friends-non-fungibles-and-the-rocky,,false,,,newsletter,everyone,,,
36449323.dailies-1,,false,,,newsletter,everyone,,,
36447831.on-governance-and-evolution-1,2021-05-15T13:02:58.757Z,true,2021-05-15T13:02:58.817Z,2021-05-15T13:02:58.817Z,newsletter,everyone,"On Governance, and Evolution 1",,
35557988.on-daos-and-competitive-governance,2021-04-24T04:01:48.864Z,true,2021-04-24T04:01:48.898Z,2021-04-24T04:01:48.898Z,newsletter,everyone,On DAOs & Competitive Governance 1,,
34963739.51f,,false,,,newsletter,everyone,,,
34837861.i-am-in-for-the-immortality-or-nfts,2021-04-06T17:47:43.568Z,true,2021-04-06T17:47:43.600Z,2021-04-06T17:47:43.600Z,newsletter,everyone,"I am in for the Immortality, or #nfts",,
34753419.dissonance-1-xenakis-the-whale,2021-04-03T23:37:52.121Z,true,2021-04-03T23:37:52.180Z,2021-04-03T23:37:52.180Z,newsletter,everyone,Dissonance 1: Xenakis the Whale,,
32427698.memenomics-daily-3,2021-02-11T05:03:33.787Z,true,2021-02-11T05:03:33.823Z,2021-02-11T05:03:33.823Z,newsletter,everyone,Memenomics Daily #3,Early Morning Edition,
32424097.memenomics-daily-2-00d,2021-02-11T01:22:45.249Z,true,2021-02-11T01:22:45.282Z,2021-02-11T01:22:45.282Z,newsletter,everyone,Memenomics Daily #2,,
32423102.memenomics-daily-2,,false,,,newsletter,everyone,,,
32387751.memenomics-daily-1,2021-02-10T03:57:11.579Z,true,2021-02-10T03:57:11.625Z,2021-02-10T03:57:11.625Z,newsletter,everyone,Memenomics Daily #1,,
32140537.9b5,,false,,,newsletter,everyone,,,
32040661.on-the-hashmasks,,false,,,newsletter,everyone,,,
32011483.db6,,false,,,newsletter,everyone,,,
31981864.on-cryptomedia-1,2021-01-29T00:03:45.287Z,true,2021-01-29T00:03:45.328Z,2021-01-29T00:03:45.328Z,newsletter,everyone,On CryptoMedia #1,"Initial thoughts on Palmer's $ESSAY community funding, Zora and Mirror.",
31658846.482,,false,,,newsletter,everyone,,,
31647550.thoughts-on-cryptowhatevers,2021-01-18T23:04:25.473Z,true,2021-01-18T23:04:25.600Z,2021-01-18T23:04:25.600Z,newsletter,everyone,Thoughts on CryptoWhatevers,,
28936472.chain-standard-1,2020-12-26T00:05:39.977Z,true,2020-12-26T00:05:40.103Z,2020-12-26T00:05:40.103Z,newsletter,everyone,Chain Standard #1,Pilot bookmarking. More features to come forth. Happy Xmas.,
28936468.the-chain-standard-1,,false,,,newsletter,everyone,,,
28936422.the-crypto-standard-1,,false,,,newsletter,everyone,,,
25472849.b6b,,false,,,newsletter,everyone,,,
23700066.2d0,,false,,,newsletter,everyone,,,
20539075.1fb,,false,,,newsletter,everyone,,,
20191029.eugenics-tokens-01,2020-11-26T03:38:47.350Z,true,2020-11-26T03:38:47.380Z,2020-11-26T03:38:47.380Z,newsletter,everyone,Eugenics Tokens #01,In support of Designer Tokens,
20150860.diaries-of-an-algobot,2020-11-25T23:24:59.941Z,true,2020-11-25T23:25:00.022Z,2020-11-25T23:25:00.022Z,newsletter,everyone,Diaries of an AlgoBot,,
19643940.ape-in1,2020-11-24T01:08:29.524Z,true,2020-11-24T01:08:29.565Z,2020-11-24T01:08:29.565Z,newsletter,everyone,ape in.1,,
18087755.disclaimer-tokenomics-of-haus-ov,,false,,,newsletter,everyone,,,
17469657.generate-gc69,2020-11-04T13:36:30.959Z,true,2020-11-04T13:36:31.093Z,2020-11-04T13:36:31.093Z,newsletter,everyone,GENERATE: $GC69,ENTER THE NOVELGEON,
17323205.scene-1-of-tentacles-and-blood,2020-11-03T17:58:49.281Z,true,2020-11-03T17:58:49.499Z,2020-11-03T17:58:49.499Z,newsletter,everyone,"SCENE 1: Of Tentacles, & Blood",,
17263961.giga-radar-morning-edition,2020-11-03T06:14:13.631Z,true,2020-11-03T06:14:13.701Z,2020-11-03T06:14:13.701Z,newsletter,everyone,"$GIGA RADAR, Morning Edition",Stay Hydrated. Get that kefir shot.,
17263920.af4,,false,,,newsletter,everyone,,,
16999591.giga-radar-daily,,false,,,newsletter,everyone,,,
16868606.mbeamm-the-story,2020-11-02T06:15:45.333Z,true,2020-11-02T06:15:45.378Z,2020-11-02T06:15:45.378Z,newsletter,everyone,mbeAMM the Story,,
16837972.ghoul-city-2069-a-novel,2020-11-02T01:45:07.981Z,true,2020-11-02T01:45:08.012Z,2020-11-02T01:45:08.012Z,newsletter,everyone,GHOUL CITY 2069: A Novel,PRESALE,
16811937.photon-shower-thoughts-01,2020-11-02T03:26:36.559Z,true,2020-11-02T03:26:36.590Z,2020-11-02T03:26:36.590Z,newsletter,everyone,Photon Shower Thoughts 01,,
16187609.19,2020-10-31T02:03:51.886Z,true,2020-10-31T02:03:51.920Z,2020-10-31T02:03:51.920Z,newsletter,everyone,19,,
16169079.ghoul-city-2069-a-novel-presale-00,2020-10-31T01:38:09.229Z,true,2020-10-31T01:38:09.299Z,2020-10-31T01:38:09.299Z,newsletter,everyone,GHOUL CITY 2069: A Novel — PreSale 00,Capital Raising Post aka Presale,
15476862.1992-part-1,2020-10-29T04:03:59.732Z,true,2020-10-29T04:03:59.849Z,2020-10-29T04:03:59.849Z,newsletter,everyone,1992: Part 1,(b)“music” includes sounds wholly or predominantly characterised by the emission of a succession of repetitive beats.,
14537665.0fd,,false,,,newsletter,everyone,,,
13264948.squid-radar-0000,2020-10-18T15:33:27.611Z,false,2020-10-18T15:33:27.649Z,2020-10-18T15:33:27.649Z,newsletter,everyone,$SQUID Radar 0000,"When the seaghouls follow the trawler, it's because they think sardines will be thrown into the sea. ",
1048462.da4,,false,,,newsletter,everyone,,,
912355.axie-infinity-nedir,,false,,,newsletter,everyone,,,
901733.a-day-in-the-cryptoart-nodes-0000001,,false,,,newsletter,everyone,,,
895713.69d,,false,,,newsletter,everyone,,,
888934.on-the-probability-of-neo-templexity,2020-08-24T00:40:27.317Z,true,2020-08-24T00:40:27.420Z,2020-08-24T00:40:27.420Z,newsletter,everyone,On the Probability of Neo-Templexity," You are not unique, and the no-medium is a fantasy that breeds wonders.",
812986.68d,,false,,,newsletter,everyone,,,
810939.thoughts-on-crypto-conceptualisms,2020-08-04T01:43:11.473Z,true,2020-08-04T01:43:11.530Z,2020-08-04T01:43:11.530Z,newsletter,everyone,Thoughts on Crypto-Conceptualisms,,
810922.thoughts-on-crypto-conceptualisms,,false,,,newsletter,everyone,,,
480867.coming-soon,2020-05-23T05:51:14.544Z,true,2020-05-23T05:51:14.544Z,2020-05-23T05:51:14.544Z,newsletter,everyone,On crypto-conceptualisms,coming soon.,
480866.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
